,Title,Rating
54,The Dark Knight,9.0
80,Inception,8.8
117,Dangal,8.8
36,Interstellar,8.6
96,Kimi no na wa,8.6
249,The Intouchables,8.6
64,The Prestige,8.5
99,The Departed,8.5
124,The Dark Knight Rises,8.5
133,Whiplash,8.5
476,The Lives of Others,8.5
991,Taare Zameen Par,8.5
144,Django Unchained,8.4
430,3 Idiots,8.4
634,WALL·E,8.4
861,Koe no katachi,8.4
6,La La Land,8.3
26,Bahubali: The Beginning,8.3
77,Inglourious Basterds,8.3
455,Jagten,8.3
478,Paint It Black,8.3
499,Up,8.3
688,Toy Story 3,8.3
16,Hacksaw Ridge,8.2
82,The Wolf of Wall Street,8.2
143,Room,8.2
194,Warrior,8.2
230,Pan's Labyrinth,8.2
241,Inside Out,8.2
645,Gran Torino,8.2
713,Incendies,8.2
742,El secreto de sus ojos,8.2
765,PK,8.2
0,Guardians of the Galaxy,8.1
18,Lion,8.1
50,Star Wars: Episode VII - The Force Awakens,8.1
67,Mad Max: Fury Road,8.1
74,Zootopia,8.1
76,The Avengers,8.1
83,Gone Girl,8.1
90,Prisoners,8.1
92,The Help,8.1
111,12 Years a Slave,8.1
114,Harry Potter and the Deathly Hallows: Part 2,8.1
136,No Country for Old Men,8.1
138,Shutter Island,8.1
145,Ah-ga-ssi,8.1
154,Twin Peaks: The Missing Pieces,8.1
192,Spotlight,8.1
197,Into the Wild,8.1
198,The Imitation Game,8.1
238,The Grand Budapest Hotel,8.1
299,There Will Be Blood,8.1
334,Rush,8.1
427,The Bourne Ultimatum,8.1
608,Mommy,8.1
641,Relatos salvajes,8.1
695,Hachi: A Dog's Tale,8.1
772,How to Train Your Dragon,8.1
19,Arrival,8.0
33,Deadpool,8.0
102,The Martian,8.0
129,The Revenant,8.0
140,Star Trek,8.0
162,X-Men: Days of Future Past,8.0
164,Casino Royale,8.0
173,Her,8.0
184,Forushande,8.0
235,The Perks of Being a Wallflower,8.0
261,Black Swan,8.0
273,Sing Street,8.0
332,Dallas Buyers Club,8.0
365,Slumdog Millionaire,8.0
468,District 9,8.0
489,Ratatouille,8.0
640,The Pursuit of Happyness,8.0
669,Blood Diamond,8.0
685,The King's Speech,8.0
12,Rogue One,7.9
21,Manchester by the Sea,7.9
35,Captain America: Civil War,7.9
81,Captain Fantastic,7.9
103,Contratiempo,7.9
159,Hot Fuzz,7.9
170,Nightcrawler,7.9
171,Kubo and the Two Strings,7.9
200,Edge of Tomorrow,7.9
203,Iron Man,7.9
246,Children of Men,7.9
252,Straight Outta Compton,7.9
271,The Hobbit: An Unexpected Journey,7.9
447,Hunt for the Wilderpeople,7.9
504,Mr. Nobody,7.9
518,The Hobbit: The Desolation of Smaug,7.9
549,"I, Daniel Blake",7.9
598,Moon,7.9
656,Boyhood,7.9
694,Life of Pi,7.9
752,In Bruges,7.9
897,The Fall,7.9
903,How to Train Your Dragon 2,7.9
11,Hidden Figures,7.8
87,Avatar,7.8
88,The Hateful Eight,7.8
142,The Big Short,7.8
188,Drive,7.8
205,X: First Class,7.8
216,Captain America: The Winter Soldier,7.8
223,The Girl with the Dragon Tattoo,7.8
232,Apocalypto,7.8
255,The Hangover,7.8
260,Birdman or (The Unexpected Virtue of Ignorance),7.8
270,Skyfall,7.8
311,La vie d'Adèle,7.8
336,Silver Linings Playbook,7.8
338,The Fault in Our Stars,7.8
359,About Time,7.8
362,Star Trek Into Darkness,7.8
384,The Lego Movie,7.8
407,Tangled,7.8
410,Taken,7.8
417,Atonement,7.8
425,The Curious Case of Benjamin Button,7.8
448,Big Hero 6,7.8
470,American Gangster,7.8
485,Moonrise Kingdom,7.8
509,Gravity,7.8
510,The Boy in the Striped Pyjamas,7.8
563,Wreck-It Ralph,7.8
573,Little Miss Sunshine,7.8
590,Män som hatar kvinnor,7.8
691,Dear Zindagi,7.8
759,The Fighter,7.8
785,Captain Phillips,7.8
793,Ma vie de Courgette,7.8
814,Fantastic Mr. Fox,7.8
839,Maudie,7.8
847,La migliore offerta,7.8
859,Changeling,7.8
950,Me and Earl and the Dying Girl,7.8
959,Lucky Number Slevin,7.8
13,Moana,7.7
65,Kingsman: The Secret Service,7.7
105,Hell or High Water,7.7
109,Ex Machina,7.7
113,300,7.7
219,Kick-Ass,7.7
277,Zodiac,7.7
293,The Exception,7.7
310,The Blind Side,7.7
324,The Social Network,7.7
346,Stardust,7.7
349,Midnight in Paris,7.7
357,The Theory of Everything,7.7
363,Zombieland,7.7
403,Despicable Me,7.7
418,Harry Potter and the Deathly Hallows: Part 1,7.7
442,Coraline,7.7
474,Argo,7.7
483,Perfetti sconosciuti,7.7
507,(500) Days of Summer,7.7
658,Eastern Promises,7.7
662,Gone Baby Gone,7.7
684,Seven Pounds,7.7
734,Mr. Church,7.7
870,En man som heter Ove,7.7
889,50/50,7.7
957,End of Watch,7.7
37,Doctor Strange,7.6
147,Watchmen,7.6
148,Superbad,7.6
153,Sicario,7.6
176,Dawn of the Planet of the Apes,7.6
240,Fury,7.6
245,Les Misérables,7.6
257,Rise of the Planet of the Apes,7.6
281,Sherlock Holmes,7.6
377,Creed,7.6
380,What We Do in the Shadows,7.6
383,Bridge of Spies,7.6
437,The imposible,7.6
460,The Town,7.6
578,The Hunger Games: Catching Fire,7.6
584,Moneyball,7.6
611,Toni Erdmann,7.6
672,The Hurt Locker,7.6
686,Hunger,7.6
711,La tortue rouge,7.6
727,The Illusionist,7.6
743,True Grit,7.6
815,Inside Man,7.6
817,127 Hours,7.6
828,Grindhouse,7.6
854,Kung Fu Panda,7.6
979,The Skin I Live In,7.6
10,Fantastic Beasts and Where to Find Them,7.5
31,Nocturnal Animals,7.5
41,Moonlight,7.5
59,Sully,7.5
68,Wakefield,7.5
72,A Monster Calls,7.5
125,The Jungle Book,7.5
158,Scott Pilgrim vs. the World,7.5
174,Frozen,7.5
206,Raw (II),7.5
207,Paterson,7.5
254,The Conjuring,7.5
267,Cloud Atlas,7.5
290,Busanhaeng,7.5
301,Lone Survivor,7.5
314,Harry Potter and the Order of the Phoenix,7.5
441,Brooklyn,7.5
463,Predestination,7.5
465,Sherlock Holmes: A Game of Shadows,7.5
473,Harry Potter and the Half-Blood Prince,7.5
567,Juno,7.5
613,The Assassination of Jesse James by the Coward Robert Ford,7.5
636,Source Code,7.5
643,Frantz,7.5
681,We Need to Talk About Kevin,7.5
735,Hugo,7.5
760,August Rush,7.5
836,Bacalaureat,7.5
849,42,7.5
857,Freedom Writers,7.5
881,Saving Mr. Banks,7.5
885,Babel,7.5
915,Goksung,7.5
918,Perfume: The Story of a Murderer,7.5
989,Selma,7.5
57,Me Before You,7.4
66,Patriots Day,7.4
89,The Accountant,7.4
94,Avengers: Age of Ultron,7.4
95,The Nice Guys,7.4
119,Finding Dory,7.4
123,Boyka: Undisputed IV,7.4
146,The Edge of Seventeen,7.4
157,"Crazy, Stupid, Love.",7.4
178,The Conjuring 2,7.4
233,Mission: Impossible - Rogue Nation,7.4
247,20th Century Women,7.4
313,The Hobbit: The Battle of the Five Armies,7.4
327,A Street Cat Named Bob,7.4
333,Lincoln,7.4
341,Looper,7.4
356,Demain tout commence,7.4
381,Southpaw,7.4
406,Zero Dark Thirty,7.4
433,Mission: Impossible - Ghost Protocol,7.4
